gene p_val avg_logFC p_val_adj cluster
Plac8 0 2,52300046 0 0
Hp 0 2,06883801 0 0
Ly6c2 0 1,73516456 0 0
Ms4a4c 0 1,69234936 0 0
Sirpb1c 0 1,67430965 0 0
Cd52 1,99E-294 1,43076069 2,47E-290 0
Lgmn 2,17E-74 0,43396564 2,70E-70 1
Ophn1 8,74E-74 0,49543936 1,09E-69 1
Pepd 1,10E-73 0,51394201 1,36E-69 1
2510009E07Rik 6,02E-73 0,46176553 7,49E-69 1
Pald1 1,59E-72 0,41855345 1,98E-68 1
Timd4 2,94E-72 0,51963145 3,66E-68 1
Fth1 4,14E-72 0,30343281 5,15E-68 1
Gas6 1,17E-71 0,42540475 1,45E-67 1
Tuba1a 1,50E-71 0,58347741 1,87E-67 1
Enpp1 1,02E-70 0,42347059 1,27E-66 1
Sh3bp5 1,44E-70 0,53957208 1,79E-66 1
Lrp1 1,85E-70 0,57333792 2,30E-66 1
Cd83 4,18E-70 0,72867572 5,20E-66 1
Nfia 2,06E-68 0,54663241 2,57E-64 1
Sat1 1,19E-66 0,42407024 1,47E-62 1
Scoc 1,64E-66 0,53642587 2,04E-62 1
Rhob 6,26E-66 0,5532128 7,79E-62 1
Abhd12 9,57E-66 0,54236962 1,19E-61 1
B2m 1,03E-65 0,29903543 1,28E-61 1
Nrp1 1,99E-65 0,4920115 2,48E-61 1
Tspan3 2,04E-65 0,5473861 2,54E-61 1
Sgk1 2,12E-63 0,56940102 2,64E-59 1
Lamp2 3,75E-63 0,44902768 4,67E-59 1
Ahnak2 4,01E-63 0,52560246 4,99E-59 1
Adgre1 4,58E-63 0,52068056 5,70E-59 1
Pon2 8,72E-62 0,52605913 1,09E-57 1
Cd68 1,78E-61 0,53038518 2,21E-57 1
Maf 2,97E-61 0,42667252 3,69E-57 1
Mob2 3,06E-61 0,5033508 3,81E-57 1
Tnfsf12 3,28E-61 0,52528324 4,09E-57 1
Gpx1 3,58E-61 0,37382158 4,46E-57 1
Fermt2 4,09E-61 0,39580372 5,09E-57 1
C4b 1,06E-60 0,473252 1,32E-56 1
Rasgrp3 1,38E-59 0,46049941 1,72E-55 1
Rin2 5,20E-59 0,47946192 6,48E-55 1
Tcn2 7,38E-59 0,50648722 9,19E-55 1
Ncf1 4,30E-58 0,4885321 5,35E-54 1
Adam15 1,12E-57 0,52189162 1,40E-53 1
Clec12a 2,59E-57 0,4902774 3,22E-53 1
Ang 3,19E-57 0,47116947 3,98E-53 1
Cc2d1b 3,21E-57 0,42186702 4,00E-53 1
Tpp1 1,02E-56 0,49506518 1,26E-52 1
Polr2e 1,03E-56 0,54656034 1,28E-52 1
Fam3c 1,03E-56 0,50161 1,29E-52 1
Pdlim7 3,04E-56 0,43948231 3,78E-52 1
Npc2 9,46E-56 0,30372861 1,18E-51 1
Fam213b 1,25E-55 0,52500952 1,55E-51 1
Slc6a6 2,31E-55 0,48784536 2,87E-51 1
Cd33 4,68E-55 0,48872511 5,83E-51 1
Gpx4 7,43E-55 0,42069921 9,25E-51 1
Laptm4a 3,36E-54 0,44091354 4,18E-50 1
S100a1 1,09E-53 0,46008705 1,36E-49 1
Lgals9 2,52E-52 0,46556157 3,14E-48 1
P2ry12 7,79E-52 0,449325 9,70E-48 1
Zfhx3 7,31E-51 0,43064837 9,10E-47 1
Lipa 1,41E-50 0,43825 1,76E-46 1
Pla2g15 4,33E-50 0,40947464 5,39E-46 1
Axl 2,52E-49 0,42666706 3,14E-45 1
Alox5 2,89E-49 0,42270846 3,60E-45 1
Mef2c 1,09E-48 0,43524774 1,36E-44 1
Tmbim1 2,93E-48 0,48585048 3,65E-44 1
Gltp 8,12E-48 0,4582075 1,01E-43 1
Ms4a7 1,40E-47 0,37148205 1,74E-43 1
Selenow 1,81E-47 0,39554991 2,25E-43 1
Vat1 2,49E-47 0,40909443 3,10E-43 1
Gna15 1,91E-46 0,4089953 2,38E-42 1
Asah1 4,83E-46 0,42844659 6,01E-42 1
mt-Nd2 8,29E-46 0,30273287 1,03E-41 1
Fuca1 8,89E-46 0,43113337 1,11E-41 1
Ctsa 8,94E-46 0,43060171 1,11E-41 1
Fn1 2,33E-45 0,54333645 2,90E-41 1
Fez2 6,61E-45 0,3928375 8,22E-41 1
Fbxw4 4,18E-44 0,34455302 5,20E-40 1
Ski 1,00E-43 0,44853311 1,25E-39 1
Smagp 1,08E-43 0,36068801 1,34E-39 1
Qk 1,35E-43 0,42855259 1,68E-39 1
Pkib 2,60E-42 0,38693352 3,24E-38 1
Slc27a1 3,04E-42 0,39586687 3,79E-38 1
Rftn1 5,36E-42 0,39668459 6,67E-38 1
Colec12 2,46E-41 0,35774019 3,07E-37 1
Sptbn1 6,65E-41 0,4136309 8,28E-37 1
Mpp1 8,42E-41 0,4034486 1,05E-36 1
Elmo1 1,17E-40 0,41089057 1,45E-36 1
Ntpcr 3,70E-40 0,45323776 4,60E-36 1
Glul 4,47E-40 0,37361521 5,56E-36 1
Scamp2 8,10E-40 0,425329 1,01E-35 1
Prune2 2,48E-39 0,37143181 3,09E-35 1
Tgfbr1 2,74E-39 0,39603205 3,41E-35 1
Selenbp1 1,15E-38 0,31539217 1,43E-34 1
Saraf 5,05E-38 0,40047713 6,28E-34 1
Gusb 8,41E-38 0,38074394 1,05E-33 1
Rnaset2a 3,27E-37 0,40997261 4,08E-33 1
Sash1 6,35E-37 0,33455349 7,91E-33 1
Mfge8 1,07E-36 0,31727827 1,33E-32 1
Lamtor1 1,39E-36 0,3849072 1,73E-32 1
Rnf13 1,57E-36 0,38970453 1,95E-32 1
Rasgef1b 1,86E-36 0,37448891 2,31E-32 1
Gng5 3,37E-36 0,26733754 4,19E-32 1
Rhoa 5,68E-36 0,32236069 7,08E-32 1
Pon3 5,71E-36 0,31613977 7,11E-32 1
Dpp7 1,42E-35 0,32773033 1,77E-31 1
Ctsf 1,48E-35 0,32548349 1,84E-31 1
Rab11a 2,31E-35 0,36063733 2,87E-31 1
Plod1 7,43E-35 0,3357589 9,25E-31 1
Cd151 3,69E-34 0,34808711 4,60E-30 1
Tmem141 5,08E-34 0,36044055 6,33E-30 1
Igf1 5,21E-34 0,27319231 6,48E-30 1
Tmem176b 5,85E-34 0,31888938 7,28E-30 1
Tmem59 9,91E-34 0,31767721 1,23E-29 1
Kcnk13 2,34E-33 0,30943788 2,92E-29 1
Skil 2,66E-33 0,3831111 3,31E-29 1
Ifi27 2,95E-33 0,36385257 3,67E-29 1
Srgap2 5,06E-33 0,34131366 6,30E-29 1
Lmo2 6,39E-33 0,33168822 7,95E-29 1
Fchsd2 7,22E-33 0,32211904 8,99E-29 1
Sirt2 1,38E-32 0,36567157 1,71E-28 1
Npl 3,08E-31 0,2849009 3,83E-27 1
Itgb2 4,11E-31 0,34295123 5,11E-27 1
Gns 4,58E-31 0,36156847 5,70E-27 1
Rabac1 6,01E-31 0,3057313 7,49E-27 1
Sptssa 8,76E-31 0,35135106 1,09E-26 1
Cd84 1,27E-30 0,34264404 1,59E-26 1
Cd109 2,02E-30 0,30667268 2,52E-26 1
Bmyc 2,59E-30 0,32877399 3,22E-26 1
Snx3 4,12E-30 0,29818425 5,13E-26 1
Arl11 9,33E-30 0,34156756 1,16E-25 1
Itm2c 1,45E-29 0,33759716 1,80E-25 1
Cotl1 1,59E-29 0,30332237 1,98E-25 1
Pdlim2 1,69E-29 0,32448954 2,10E-25 1
Nagk 1,90E-29 0,34928011 2,37E-25 1
Aldh2 3,95E-29 0,34688722 4,92E-25 1
Tagap 5,85E-29 0,33278864 7,28E-25 1
2010111I01Rik 7,41E-29 0,31564012 9,22E-25 1
Il11ra1 8,37E-29 0,27082444 1,04E-24 1
Stom 1,25E-28 0,32351566 1,56E-24 1
Ypel3 1,33E-28 0,32974128 1,65E-24 1
Tmem50a 1,61E-28 0,27724554 2,00E-24 1
Blvrb 2,61E-28 0,28072797 3,24E-24 1
S100a13 7,11E-28 0,29903192 8,85E-24 1
Mdh1 7,70E-28 0,34816925 9,58E-24 1
Tspan4 8,59E-28 0,32035385 1,07E-23 1
Lyl1 1,72E-27 0,29847399 2,14E-23 1
Cebpa 2,26E-27 0,28459349 2,82E-23 1
Cdkn2c 2,45E-27 0,2984735 3,05E-23 1
Plbd2 2,73E-27 0,32989704 3,40E-23 1
Ass1 3,14E-27 0,28415135 3,91E-23 1
Pbxip1 3,53E-27 0,3272114 4,40E-23 1
Blnk 3,57E-27 0,32797944 4,44E-23 1
Tnfrsf21 4,38E-27 0,28373443 5,45E-23 1
H2-K1 1,41E-26 0,28233487 1,76E-22 1
Cyb5a 3,36E-26 0,2918952 4,18E-22 1
Rtcb 4,03E-26 0,35297523 5,02E-22 1
Plxnb2 6,51E-26 0,3281375 8,10E-22 1
Glmp 8,98E-26 0,31767477 1,12E-21 1
Chd9 1,53E-25 0,28032357 1,90E-21 1
Qpct 4,25E-25 0,26590276 5,29E-21 1
Atraid 7,34E-25 0,31925218 9,14E-21 1
Ptpra 8,59E-25 0,29220665 1,07E-20 1
Tsc22d3 1,01E-24 0,28533768 1,26E-20 1
Zbtb20 1,31E-24 0,30427659 1,63E-20 1
Dstn 1,88E-24 0,25530644 2,34E-20 1
Entpd1 1,94E-24 0,29434754 2,42E-20 1
App 2,43E-24 0,30352582 3,02E-20 1
Rab31 2,86E-24 0,2833116 3,57E-20 1
P2ry6 4,17E-24 0,29066127 5,19E-20 1
Sesn1 9,50E-24 0,25829154 1,18E-19 1
Abca1 9,88E-24 0,26763315 1,23E-19 1
Dusp3 1,13E-23 0,31700179 1,41E-19 1
Mgst3 1,70E-23 0,26273115 2,11E-19 1
Tgfbr2 1,94E-23 0,26853564 2,41E-19 1
Gnas 2,41E-23 0,30496891 3,00E-19 1
Dhrs7 4,06E-23 0,30631216 5,06E-19 1
Cyfip1 5,38E-23 0,29721707 6,70E-19 1
Renbp 6,62E-23 0,26377364 8,23E-19 1
Sfxn3 1,00E-22 0,27412601 1,25E-18 1
Ddx3x 1,94E-22 0,30815306 2,41E-18 1
Slc29a1 1,96E-22 0,2633416 2,44E-18 1
Nptn 2,27E-22 0,28484941 2,82E-18 1
Macf1 3,24E-22 0,31188729 4,03E-18 1
Itgb1 3,65E-22 0,29983043 4,54E-18 1
Dtnbp1 3,95E-22 0,29768388 4,91E-18 1
Dnase2a 4,52E-22 0,26891271 5,63E-18 1
Commd10 5,14E-22 0,26868967 6,39E-18 1
Luzp1 5,48E-22 0,26893718 6,82E-18 1
Hsbp1 6,56E-22 0,29235948 8,17E-18 1
Tmem9b 1,37E-21 0,30416985 1,71E-17 1
Klc1 1,81E-21 0,26896493 2,25E-17 1
Itgav 2,05E-21 0,27792486 2,56E-17 1
Ifi27l2a 5,80E-21 0,33180382 7,21E-17 1
Rab3il1 5,94E-21 0,27222402 7,39E-17 1
Sec14l1 8,27E-21 0,2755764 1,03E-16 1
P2rx4 1,10E-20 0,26177232 1,36E-16 1
Marcks 1,38E-20 0,29577974 1,72E-16 1
Map1lc3a 1,82E-20 0,26546397 2,26E-16 1
Cebpg 3,40E-20 0,27083789 4,23E-16 1
Klhl6 5,43E-20 0,26857498 6,76E-16 1
Uchl3 9,25E-20 0,2737288 1,15E-15 1
Dok3 1,01E-19 0,26637133 1,25E-15 1
Rab11fip5 1,23E-19 0,25262502 1,53E-15 1
Nucb1 1,39E-19 0,28821036 1,73E-15 1
Ubxn1 1,76E-19 0,27581537 2,19E-15 1
Rnaset2b 2,02E-19 0,26218696 2,52E-15 1
Mapk3 2,11E-19 0,31008457 2,63E-15 1
Mtdh 2,66E-19 0,28164837 3,31E-15 1
Crlf2 2,93E-19 0,2647048 3,64E-15 1
Tecr 5,06E-19 0,29279138 6,30E-15 1
Samd9l 9,23E-19 0,271343 1,15E-14 1
Ergic3 1,40E-18 0,27715559 1,74E-14 1
Ssbp4 2,11E-18 0,25597581 2,63E-14 1
Necap2 2,27E-18 0,28256847 2,82E-14 1
Atp6ap1 2,28E-18 0,25543895 2,84E-14 1
Stx4a 2,96E-18 0,27937971 3,68E-14 1
Klf4 4,77E-18 0,33841584 5,94E-14 1
Akr1b3 1,10E-17 0,25647133 1,37E-13 1
Sh3glb1 1,11E-17 0,25069571 1,38E-13 1
Creg1 1,44E-17 0,26414841 1,79E-13 1
Pnkd 1,88E-17 0,25176554 2,34E-13 1
Bmp2k 6,32E-17 0,26114964 7,87E-13 1
Bst2 1,77E-16 0,27963501 2,20E-12 1
Clic4 5,44E-16 0,25589628 6,76E-12 1
Zmiz1 3,82E-15 0,2538587 4,75E-11 1
Ccl3 1,62E-13 0,43742017 2,01E-09 1
Ier2 1,12E-07 0,39161155 0,00139362 1
Egr1 1,17E-07 0,36063289 0,00145901 1
Fosb 7,79E-05 0,28185223 0,96907157 1
Pf4 9,51E-236 1,78135194 1,18E-231 2
Selenop 9,38E-194 1,44156886 1,17E-189 2
Aqp1 1,59E-188 1,46597495 1,98E-184 2
Fxyd2 1,82E-187 1,70997512 2,27E-183 2
Gas6 4,10E-177 1,16055798 5,10E-173 2
F13a1 1,80E-176 1,29945869 2,24E-172 2
Lyve1 6,05E-176 1,35127893 7,52E-172 2
Ccl24 2,05E-167 1,33819394 2,55E-163 2
Mrc1 3,96E-163 1,11899613 4,93E-159 2
Cd81 1,29E-148 1,11898058 1,61E-144 2
Serinc3 3,65E-135 0,85096341 4,54E-131 2
Fcgrt 1,51E-132 1,04434872 1,88E-128 2
Folr2 5,16E-131 0,95979844 6,42E-127 2
Dab2 7,07E-124 0,89914255 8,80E-120 2
Cd36 1,71E-120 0,95890138 2,13E-116 2
Igfbp4 2,39E-118 1,00514707 2,97E-114 2
Cfh 3,75E-112 0,87422494 4,67E-108 2
Rnase4 4,70E-112 0,85187994 5,85E-108 2
Itm2b 1,40E-108 0,64139265 1,74E-104 2
Wwp1 5,24E-108 0,94872244 6,52E-104 2
C1qc 1,07E-106 0,81215215 1,33E-102 2
Ehd4 9,10E-103 0,83447805 1,13E-98 2
Maf 1,03E-98 0,84232093 1,28E-94 2
Glul 5,47E-92 0,76967879 6,81E-88 2
Selenbp1 1,01E-91 0,85172616 1,26E-87 2
Malat1 1,20E-91 0,48427492 1,49E-87 2
Blvrb 3,28E-91 0,7902671 4,08E-87 2
C1qa 3,29E-90 0,74001328 4,09E-86 2
Cd163 8,37E-89 1,20528125 1,04E-84 2
Txnip 9,75E-89 0,80741991 1,21E-84 2
Csf1r 1,01E-82 0,65265612 1,26E-78 2
Fgfr1 3,17E-82 0,77135492 3,94E-78 2
Calm2 1,95E-81 0,53534909 2,42E-77 2
C1qb 1,07E-77 0,66827549 1,34E-73 2
Pmp22 1,49E-72 0,64598475 1,86E-68 2
Snx2 7,19E-70 0,74266715 8,95E-66 2
Serpinb6a 2,24E-69 0,6325961 2,79E-65 2
Ninj1 2,78E-69 0,7505919 3,46E-65 2
Tppp3 2,36E-66 0,79676854 2,94E-62 2
Cbr2 3,50E-66 0,64001864 4,36E-62 2
Tslp 1,01E-65 0,64044307 1,26E-61 2
Rgs10 1,20E-65 0,55247436 1,50E-61 2
Ltc4s 2,22E-65 0,67193772 2,76E-61 2
Mafb 1,64E-64 0,62616396 2,05E-60 2
Gatm 7,91E-64 0,671656 9,85E-60 2
Cd63 1,63E-63 0,52110676 2,03E-59 2
Frmd4b 3,26E-62 0,63592992 4,05E-58 2
Pepd 8,86E-62 0,67311107 1,10E-57 2
Ecm1 1,13E-60 0,62602189 1,40E-56 2
Snx5 1,50E-60 0,61888952 1,87E-56 2
Stab1 4,86E-60 0,69719692 6,05E-56 2
Stard8 1,82E-58 0,65714354 2,26E-54 2
Mtss1 2,00E-57 0,6240031 2,49E-53 2
Ighm 1,04E-56 0,79843695 1,30E-52 2
Ahnak 3,77E-54 0,44251303 4,69E-50 2
Ctsb 2,40E-53 0,41227221 2,98E-49 2
Gas7 4,44E-53 0,64083932 5,52E-49 2
Lifr 1,09E-52 0,57367345 1,36E-48 2
Mef2c 3,01E-52 0,57069604 3,74E-48 2
Pltp 7,13E-52 0,47441768 8,87E-48 2
Tns1 3,25E-51 0,62001747 4,05E-47 2
Selenom 4,92E-50 0,59905078 6,13E-46 2
P2ry12 6,23E-50 0,60768679 7,75E-46 2
Rabac1 1,53E-49 0,4984095 1,90E-45 2
Cst3 3,83E-47 0,33143069 4,76E-43 2
Cltc 6,82E-45 0,59078364 8,49E-41 2
Fcgr3 8,17E-43 0,45908428 1,02E-38 2
Nr3c1 1,19E-42 0,55189024 1,48E-38 2
Pros1 1,84E-42 0,57832107 2,29E-38 2
Tgfbr2 4,71E-42 0,56169223 5,86E-38 2
Ptpn18 2,01E-41 0,52092585 2,50E-37 2
Rin2 3,71E-41 0,53108251 4,62E-37 2
Ang 8,19E-40 0,56499832 1,02E-35 2
Fkbp1a 2,03E-38 0,4718315 2,53E-34 2
Fcna 2,97E-38 0,63843553 3,69E-34 2
Aplp2 1,78E-37 0,48525562 2,21E-33 2
Ppia 4,50E-37 0,25024664 5,60E-33 2
Ap1b1 9,69E-37 0,57457455 1,21E-32 2
Dstn 9,95E-37 0,41734052 1,24E-32 2
Npl 1,80E-36 0,50772792 2,24E-32 2
Gypc 3,55E-36 0,45162424 4,42E-32 2
Sult1a1 1,60E-35 0,47907548 2,00E-31 2
Timp2 3,20E-35 0,287757 3,99E-31 2
Etv1 6,20E-35 0,45784137 7,71E-31 2
Cracr2b 6,26E-35 0,45068188 7,79E-31 2
Fez2 7,02E-35 0,51365928 8,74E-31 2
Hexa 1,93E-34 0,38943777 2,40E-30 2
Igf1 3,51E-34 0,57372872 4,37E-30 2
Ypel3 1,44E-33 0,48509227 1,79E-29 2
Alox5 1,55E-33 0,47216588 1,93E-29 2
Nrp1 1,99E-33 0,5338367 2,47E-29 2
Trf 2,66E-33 0,54162189 3,31E-29 2
Gpr34 5,40E-33 0,40712812 6,72E-29 2
Cd302 1,48E-32 0,49960022 1,85E-28 2
Lgmn 2,48E-32 0,33510291 3,09E-28 2
Abca9 4,84E-32 0,44616194 6,03E-28 2
Hpgd 1,06E-31 0,45047468 1,32E-27 2
Laptm4a 1,72E-31 0,41703956 2,15E-27 2
Eps8 2,66E-30 0,47853892 3,32E-26 2
Ap2a2 3,40E-30 0,52783379 4,23E-26 2
Lamp1 6,44E-30 0,37379032 8,02E-26 2
Myo5a 1,17E-29 0,4887522 1,45E-25 2
Tcf4 1,31E-29 0,45386332 1,63E-25 2
S100a6 5,07E-29 0,27998297 6,31E-25 2
Tmem50a 8,85E-29 0,35531853 1,10E-24 2
Pdlim1 1,06E-28 0,46193228 1,32E-24 2
Cavin1 1,32E-28 0,392023 1,64E-24 2
Bin1 2,24E-28 0,32465828 2,79E-24 2
Clta 8,32E-28 0,32456739 1,04E-23 2
Ifi27l2a 9,86E-28 0,64045759 1,23E-23 2
Rgl1 6,34E-27 0,45587623 7,89E-23 2
Idh2 1,11E-26 0,49433681 1,38E-22 2
Tmem37 2,27E-26 0,3498163 2,83E-22 2
Adgre1 6,38E-26 0,38602872 7,94E-22 2
Qpct 8,78E-26 0,47093578 1,09E-21 2
Psd3 9,74E-26 0,3890519 1,21E-21 2
Smagp 1,19E-25 0,37760044 1,48E-21 2
Colec12 1,66E-25 0,42981448 2,07E-21 2
Dhrs3 5,02E-25 0,36550862 6,25E-21 2
Tspan4 7,55E-25 0,45412036 9,40E-21 2
Timd4 2,42E-24 0,42278263 3,02E-20 2
Dusp22 3,70E-24 0,41811986 4,61E-20 2
Zfp36l1 3,97E-24 0,39470593 4,94E-20 2
Rab11fip5 6,01E-24 0,39468805 7,48E-20 2
Sesn1 7,16E-24 0,39340285 8,91E-20 2
Cd37 7,99E-24 0,38677814 9,94E-20 2
Gstm1 8,07E-24 0,44275278 1,00E-19 2
Evi5 8,41E-24 0,36057498 1,05E-19 2
Sulf2 9,63E-24 0,3890787 1,20E-19 2
Tlr7 2,65E-23 0,395689 3,30E-19 2
Snx3 5,85E-23 0,33935836 7,28E-19 2
P2ry6 5,31E-22 0,41765669 6,61E-18 2
S100a1 8,18E-22 0,42757087 1,02E-17 2
Dok2 8,31E-22 0,4465098 1,03E-17 2
Vat1 8,99E-22 0,41005194 1,12E-17 2
Man1a 1,88E-21 0,41396322 2,34E-17 2
Hpgds 3,19E-21 0,39246338 3,97E-17 2
Ctsc 4,05E-21 0,28057902 5,04E-17 2
Pea15a 4,30E-21 0,44152874 5,35E-17 2
Lamp2 4,46E-21 0,3393096 5,56E-17 2
Sptbn1 5,72E-21 0,41647423 7,12E-17 2
Gltp 1,23E-20 0,31738217 1,52E-16 2
Mrfap1 1,65E-20 0,32519123 2,05E-16 2
Tsc22d3 2,86E-20 0,35885785 3,57E-16 2
Mgl2 3,70E-20 0,41799173 4,60E-16 2
Itsn1 5,52E-20 0,35944414 6,87E-16 2
Abhd12 6,06E-20 0,35938213 7,54E-16 2
C4b 9,19E-20 0,57950543 1,14E-15 2
Eps15 1,47E-19 0,43419722 1,83E-15 2
Cyb5a 2,13E-19 0,38759667 2,65E-15 2
Rapgef6 2,33E-19 0,38104897 2,90E-15 2
Hprt 3,17E-19 0,32403769 3,94E-15 2
Mpp1 1,03E-18 0,36399822 1,29E-14 2
Clec10a 1,91E-18 0,49064825 2,38E-14 2
Hmox2 7,49E-18 0,37709206 9,32E-14 2
Ncoa4 8,36E-18 0,38718893 1,04E-13 2
Lyl1 9,33E-18 0,39479722 1,16E-13 2
Selenof 9,87E-18 0,27530643 1,23E-13 2
Aldh2 1,03E-17 0,32229627 1,28E-13 2
Rasgrp3 1,23E-17 0,32270248 1,53E-13 2
Cyb5r3 1,57E-17 0,38788899 1,95E-13 2
Rnf13 3,05E-17 0,34326647 3,80E-13 2
Atraid 3,16E-17 0,3320633 3,93E-13 2
Mgst3 4,85E-17 0,34321166 6,04E-13 2
Hist1h2bc 5,03E-17 0,39192307 6,26E-13 2
Hacd4 8,49E-17 0,38857792 1,06E-12 2
Pink1 8,69E-17 0,34490879 1,08E-12 2
Rab11a 1,34E-16 0,31605138 1,67E-12 2
Rassf4 1,98E-16 0,32727636 2,46E-12 2
Anxa6 2,08E-16 0,37459817 2,59E-12 2
Tmem59 2,39E-16 0,27366043 2,97E-12 2
Gabarapl1 3,79E-16 0,34827547 4,72E-12 2
Higd2a 5,41E-16 0,33497794 6,73E-12 2
Prune2 6,64E-16 0,36754039 8,27E-12 2
Polr3gl 1,29E-15 0,36077 1,60E-11 2
Kif1b 1,33E-15 0,374063 1,66E-11 2
Sgpp1 1,70E-15 0,35071254 2,12E-11 2
Rfk 2,67E-15 0,36036461 3,33E-11 2
Dse 4,36E-15 0,33860627 5,42E-11 2
2610507B11Rik 4,88E-15 0,32740785 6,08E-11 2
Vkorc1 4,89E-15 0,34777228 6,09E-11 2
Sec14l1 5,44E-15 0,32972636 6,77E-11 2
Foxp1 5,89E-15 0,3477488 7,32E-11 2
Sec62 6,42E-15 0,30151037 7,98E-11 2
S1pr1 1,45E-14 0,28481541 1,80E-10 2
Pon2 1,97E-14 0,33199461 2,45E-10 2
Scamp2 2,47E-14 0,34132503 3,08E-10 2
Acat1 6,61E-14 0,33409907 8,22E-10 2
Tspan17 8,88E-14 0,29102634 1,11E-09 2
Rgs18 1,40E-13 0,33844422 1,74E-09 2
Borcs6 2,21E-13 0,29623016 2,75E-09 2
Unc93b1 2,79E-13 0,25487499 3,48E-09 2
Cd48 4,33E-13 0,26907375 5,39E-09 2
H2afv 5,70E-13 0,29533529 7,09E-09 2
Gpr183 8,49E-13 0,33012647 1,06E-08 2
Zcchc6 9,60E-13 0,31733242 1,19E-08 2
Slc9a3r2 1,12E-12 0,27600273 1,39E-08 2
Pts 1,15E-12 0,35576999 1,43E-08 2
Tnfaip8l2 1,31E-12 0,30424841 1,62E-08 2
Slco2b1 1,91E-12 0,2649033 2,37E-08 2
Hfe 2,99E-12 0,31726726 3,72E-08 2
Lipa 2,99E-12 0,29625515 3,73E-08 2
Serpinb1a 3,55E-12 0,26208369 4,42E-08 2
Tmem141 3,59E-12 0,28672569 4,47E-08 2
Ifi207 3,88E-12 0,32140202 4,83E-08 2
Cd33 4,11E-12 0,31514681 5,12E-08 2
Sh3bgrl 4,42E-12 0,27721484 5,51E-08 2
Akr1b3 8,64E-12 0,30082581 1,08E-07 2
Tsen34 9,51E-12 0,34710517 1,18E-07 2
Retnla 1,06E-11 1,18095646 1,32E-07 2
AI467606 1,13E-11 0,29452734 1,41E-07 2
Ralbp1 1,18E-11 0,35174071 1,46E-07 2
Comt 1,38E-11 0,25238835 1,71E-07 2
Ahnak2 1,57E-11 0,30764408 1,96E-07 2
Ndfip1 1,90E-11 0,30250061 2,37E-07 2
Trmt1 2,35E-11 0,32702597 2,92E-07 2
Foxn3 3,31E-11 0,30291244 4,12E-07 2
Snx6 3,38E-11 0,32475424 4,20E-07 2
Anp32a 3,44E-11 0,25866754 4,28E-07 2
Hp1bp3 3,87E-11 0,32499177 4,82E-07 2
Trim47 4,22E-11 0,2802805 5,25E-07 2
Tnfsf12 6,02E-11 0,29031844 7,49E-07 2
Ppp3ca 6,73E-11 0,29694173 8,37E-07 2
Snx8 6,74E-11 0,30130396 8,39E-07 2
Cln8 6,81E-11 0,2826238 8,48E-07 2
Nisch 8,88E-11 0,30622522 1,11E-06 2
Ndufs7 1,00E-10 0,25677806 1,25E-06 2
Spred1 1,04E-10 0,30131265 1,29E-06 2
Rsrp1 1,24E-10 0,29841023 1,54E-06 2
Smim10l1 1,59E-10 0,27107584 1,98E-06 2
Slc29a1 1,99E-10 0,30210441 2,48E-06 2
Dguok 2,44E-10 0,27331844 3,04E-06 2
Cdkn2c 2,92E-10 0,28508672 3,63E-06 2
Mbnl1 3,00E-10 0,25994561 3,73E-06 2
Rnf130 3,49E-10 0,30841304 4,34E-06 2
Hmgn1 6,36E-10 0,28884334 7,91E-06 2
Mindy2 7,78E-10 0,26591671 9,68E-06 2
Ssh2 8,11E-10 0,25985775 1,01E-05 2
Eid1 1,30E-09 0,27629695 1,61E-05 2
Ifi203 1,38E-09 0,3219021 1,72E-05 2
Mid1ip1 1,46E-09 0,2550516 1,82E-05 2
Stk17b 1,67E-09 0,2753971 2,08E-05 2
Ly96 1,76E-09 0,30430652 2,19E-05 2
Tex264 1,82E-09 0,28049393 2,27E-05 2
Dnase1l1 2,15E-09 0,27907905 2,67E-05 2
Sdhc 2,45E-09 0,26088265 3,05E-05 2
Anxa11 3,20E-09 0,31205136 3,98E-05 2
Leprot 3,26E-09 0,25970118 4,06E-05 2
Tprgl 3,93E-09 0,26529765 4,89E-05 2
Fam46a 4,55E-09 0,28359774 5,66E-05 2
Itpripl2 5,21E-09 0,28850682 6,48E-05 2
Zbtb20 5,98E-09 0,28380932 7,44E-05 2
Tacc1 7,64E-09 0,25933729 9,51E-05 2
Acot13 8,45E-09 0,2737015 0,00010512 2
Pkig 8,49E-09 0,27486678 0,0001057 2
Dusp6 9,10E-09 0,28147595 0,00011325 2
Oat 1,12E-08 0,2972081 0,00013901 2
Rab31 1,12E-08 0,25375003 0,00013958 2
Fcgr2b 1,75E-08 0,27730714 0,00021724 2
Pgrmc1 1,84E-08 0,25844364 0,00022853 2
Fcho2 2,11E-08 0,2590027 0,00026323 2
Nudt9 2,57E-08 0,26255707 0,00031991 2
Ap2m1 3,17E-08 0,2535148 0,0003943 2
Fnta 6,60E-08 0,26564159 0,00082163 2
Hcst 7,34E-08 0,27522823 0,00091335 2
Cltb 8,49E-08 0,2925144 0,00105718 2
Tep1 9,27E-08 0,26637283 0,00115337 2
Nenf 1,27E-07 0,28387981 0,00157746 2
Prcp 2,44E-07 0,27455412 0,00303942 2
Tmem106a 3,13E-07 0,2629564 0,00389212 2
Ptafr 4,39E-07 0,26620332 0,00546429 2
Cnpy2 4,72E-07 0,27053836 0,00588032 2
